,school_name,country
790,Technical University of Madrid,Spain
791,University of Tehran,Iran
792,University of Texas at El Paso,United States of America
793,Texas Tech University,United States of America
794,Tokai University,Japan
795,Tokushima University,Japan
796,Tokyo University of Marine Science and Technology,Japan
797,Tokyo University of Science,Japan
798,Tomsk State University,Russian Federation
799,Tottori University,Japan
800,Toyohashi University of Technology,Japan
801,Universiti Kebangsaan Malaysia,Malaysia
802,Universiti Putra Malaysia,Malaysia
803,Universiti Sains Malaysia,Malaysia
804,Universiti Teknologi MARA,Malaysia
805,Ural Federal University,Russian Federation
806,V.N. Karazin Kharkiv National University,Ukraine
807,Vilnius University,Lithuania
808,Warsaw University of Technology,Poland
809,University of West Bohemia,Czech Republic
810,University of the West of England,United Kingdom
811,West University of Timişoara,Romania
812,University of Westminster,United Kingdom
813,Xidian University,China
814,Yeungnam University,South Korea
815,Yıldız Technical University,Turkey
816,Yokohama City University,Japan
817,Yokohama National University,Japan
