,world_rank,university_name,national_rank,total_score,alumni,award,hici,ns,pub,pcp,year
169,153-202,The University of Calgary,6-8,,0.0,0.0,11.1,16.0,44.2,20.5,2005
170,153-202,The University of Connecticut - Storrs,72-90,,15.4,0.0,17.6,12.0,37.8,19.6,2005
171,153-202,The University of Texas Health Science Center at Houston,72-90,,0.0,15.8,17.6,16.8,29.7,17.6,2005
172,153-202,The University of Texas M. D. Anderson Cancer Center,72-90,,0.0,0.0,23.6,12.4,39.5,20.2,2005
173,153-202,The University of Western Australia,5-6,,0.0,0.0,20.8,13.8,40.1,21.0,2005
174,153-202,Tsinghua University,1,,14.0,0.0,0.0,9.9,55.7,19.1,2005
175,153-202,University of Barcelona,1-2,,0.0,0.0,11.1,14.1,46.3,21.1,2005
176,153-202,University of Bern,5-6,,16.6,0.0,11.1,23.5,35.5,26.8,2005
177,153-202,University of Cincinnati,72-90,,0.0,0.0,24.8,12.1,44.8,20.6,2005
178,153-202,University of Delaware,72-90,,14.0,0.0,20.8,15.9,36.2,17.9,2005
179,153-202,University of East Anglia,16-19,,17.7,0.0,17.6,20.2,25.1,16.5,2005
180,153-202,University of Gothenburg,5,,0.0,15.8,0.0,18.6,40.4,13.9,2005
181,153-202,University of Kiel,12-16,,15.4,15.8,11.1,14.6,33.5,18.2,2005
182,153-202,University of Koeln,12-16,,0.0,12.9,7.9,19.1,36.6,18.7,2005
183,153-202,University of Leicester,16-19,,0.0,0.0,19.2,19.9,35.4,19.1,2005
184,153-202,University of Leipzig,12-16,,17.7,15.8,0.0,10.0,37.3,18.5,2005
185,153-202,University of Mainz,12-16,,0.0,8.3,15.7,13.5,37.9,18.7,2005
186,153-202,University of Marburg,12-16,,17.7,0.0,15.7,12.6,34.7,17.9,2005
187,153-202,"University of Maryland, Baltimore",72-90,,0.0,0.0,19.2,18.6,38.4,19.9,2005
188,153-202,University of Montreal,6-8,,15.4,0.0,7.9,12.1,50.4,22.7,2005
189,153-202,University of Nebraska - Lincoln,72-90,,17.7,0.0,15.7,17.2,36.8,18.2,2005
190,153-202,University of New South Wales,5-6,,0.0,0.0,19.2,14.3,47.0,17.6,2005
191,153-202,University of Notre Dame,72-90,,16.6,0.0,11.1,18.9,34.1,20.0,2005
192,153-202,University of Padua,4-5,,0.0,0.0,13.6,13.7,46.3,16.9,2005
193,153-202,University of Paris Descartes (Paris 5),6-8,,16.0,12.2,11.1,12.4,27.8,15.5,2005
194,153-202,University of Paris Diderot (Paris 7),6-8,,18.2,14.1,11.1,15.6,34.5,18.6,2005
195,153-202,University of Southampton,16-19,,0.0,0.0,20.8,11.9,43.4,21.0,2005
196,153-202,University of Tennessee - Knoxville,72-90,,14.0,0.0,20.8,18.0,39.3,17.1,2005
197,153-202,University of Turin,4-5,,21.7,0.0,11.1,10.8,38.2,16.8,2005
198,153-202,University of Wageningen,5-7,,0.0,0.0,23.6,17.0,35.2,23.8,2005
199,153-202,Virginia Commonwealth University,72-90,,14.0,14.4,20.8,7.7,33.4,17.4,2005
200,153-202,Virginia Polytechnic Institute and State University,72-90,,15.4,0.0,17.6,12.4,40.3,17.0,2005
201,153-202,VU University Amsterdam,5-7,,0.0,0.0,17.6,15.8,42.7,21.6,2005
202,203-300,Chalmers University of Technology,6-9,,0.0,0.0,17.6,9.8,31.0,18.1,2005
203,203-300,Charles University in Prague,1,,15.4,0.0,0.0,11.3,37.1,17.1,2005
204,203-300,Claude Bernard University Lyon 1,9-13,,15.4,0.0,0.0,11.5,36.5,16.9,2005
205,203-300,Complutense University of Madrid,3,,0.0,0.0,0.0,12.6,41.3,18.3,2005
206,203-300,Dalhousie University,9-17,,0.0,0.0,15.7,18.1,34.8,18.0,2005
207,203-300,Delft University of Technology,8-9,,15.4,0.0,0.0,21.9,36.2,15.8,2005
208,203-300,Ecole Polytechnique,9-13,,22.6,0.0,7.9,14.1,28.4,15.4,2005
209,203-300,George Mason University,91-119,,0.0,32.9,11.1,0.0,24.3,18.3,2005
210,203-300,Georgetown University,91-119,,0.0,0.0,7.9,13.5,34.8,19.7,2005
211,203-300,Hiroshima University,10-13,,0.0,0.0,7.9,10.4,40.6,19.2,2005
212,203-300,Kansas State University,91-119,,0.0,0.0,11.1,12.7,31.8,15.8,2005
213,203-300,Keio University,10-13,,0.0,0.0,7.9,14.2,36.5,17.0,2005
